"Gene","Protein","Protein names","UniProt Localization","HPA Localization","OpenCell Localization","SimChrom Category","SimChrom-SL Category","MS-based studies","Abundance, ppm","PFAM"
"undefinedZNF726P1","Q15940","Putative zinc finger protein 726P1","null","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF727","A8MUV8","Putative zinc finger protein 727","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.003","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_4(C2H2-type zinc finger,PF13894);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_4(C2H2-type zinc finger,PF13894)"
"undefinedZNF728","P0DKX0","Zinc finger protein 728","null","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.004","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF729","A6NN14","Zinc finger protein 729","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.014","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF730","Q6ZMV8","Putative zinc finger protein 730","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.004","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF732","B4DXR9","Zinc finger protein 732","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.051","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_6(C2H2-type zinc finger,PF13912)"
"undefinedZNF735","P0CB33","Putative zinc finger protein 735","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF736","B4DX44","Zinc finger protein 736","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.009","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_6(C2H2-type zinc finger,PF13912)"
"undefinedZNF737","O75373","Zinc finger protein 737","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.012","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF74","Q16587","Zinc finger protein 74","null","Actin filaments (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.01","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF740","Q8NDX6","Zinc finger protein 740","Nucleus (ECO:0000305)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Kustatscher et al., 2014","3.98","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF746","Q6NUN9","Zinc finger protein 746","Cytoplasm (ECO:0000269), Nucleus (ECO:0000305)","Cytosol (Supported), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.509","KRAB(KRAB box,PF01352);zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF749","O43361","Zinc finger protein 749","Nucleus (ECO:0000305)","Nuclear membrane (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.02","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF750","Q32MQ0","Zinc finger protein 750","Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.021","zf-C2H2_7(Zinc-finger,PF15269)"
"undefinedZNF75A","Q96N20","Zinc finger protein 75A","Nucleus (ECO:0000305)","Nucleoli fibrillar center (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.004","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF75CP","Q92670","Putative zinc finger protein 75C","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","SCAN(SCAN domain,PF02023);KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF75D","P51815","Zinc finger protein 75D","Nucleus (ECO:0000255)","Golgi apparatus (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.004","SCAN(SCAN domain,PF02023);KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF76","P36508","Zinc finger protein 76","Nucleus (ECO:0000305)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.993","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF761","Q86XN6","Zinc finger protein 761","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Kustatscher et al., 2014","0.066","KRAB(KRAB box,PF01352);zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF764","Q96H86","Zinc finger protein 764","Nucleus (ECO:0000305)","Cytosol (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.383","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF765","Q7L2R6","Zinc finger protein 765","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.045","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF766","Q5HY98","Zinc finger protein 766","Nucleus (ECO:0000305)","Centrosome (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.04","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF768","Q9H5H4","Zinc finger protein 768","Chromosome (ECO:0000269), Nucleus (ECO:0000305)","Nucleoplasm (Approved), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014","12.9","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF77","Q15935","Zinc finger protein 77","Nucleus (ECO:0000305)","Nucleoli (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.003","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_4(C2H2-type zinc finger,PF13894);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_4(C2H2-type zinc finger,PF13894);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_4(C2H2-type zinc finger,PF13894);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF770","Q6IQ21","Zinc finger protein 770","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Kustatscher et al., 2014","0.315","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF771","Q7L3S4","Zinc finger protein 771","Nucleus (ECO:0000305)","Nucleoli (Enhanced), Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Ginno et al., 2018; Kustatscher et al., 2014","0.393","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF772","Q68DY9","Zinc finger protein 772","Nucleus (ECO:0000305)","Cytosol (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.011","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF773","Q6PK81","Zinc finger protein 773","Nucleus (ECO:0000305)","Nucleoli fibrillar center (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Kustatscher et al., 2014","0.033","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF774","Q6NX45","Zinc finger protein 774","Nucleus (ECO:0000305)","Cytosol (Approved), Intermediate filaments (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.016","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF776","Q68DI1","Zinc finger protein 776","Nucleus (ECO:0000305)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.168","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF778","Q96MU6","Zinc finger protein 778","Nucleus (ECO:0000305)","Nuclear bodies (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.026","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF780A","O75290","Zinc finger protein 780A","Nucleus (ECO:0000305)","Centrosome (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ugur et al., 2023","0.005","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF780B","Q9Y6R6","Zinc finger protein 780B","Nucleus (ECO:0000305)","Centrosome (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.006","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_6(C2H2-type zinc finger,PF13912)"
"undefinedZNF782","Q6ZMW2","Zinc finger protein 782","Nucleus (ECO:0000305)","Mitochondria (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.023","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF784","Q8NCA9","Zinc finger protein 784","Nucleus (ECO:0000305)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Kustatscher et al., 2014","0.296","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZNF785","A8K8V0","Zinc finger protein 785","Nucleus (ECO:0000305)","Cytosol (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","null","KRAB(KRAB box,PF01352);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
